coin,horizon,n_features,n_train,n_val,val_source,best_iter,acc_train,f1_train,acc_val,f1_val,buy_th,sell_th,val_sharpe,q30,q70
BTC,10,98,1461,100,scenario_val,21,0.9192,0.9205,0.41,0.3981,0.45,0.45,1.6031,-0.030983,0.039788
ETH,7,98,1461,103,scenario_val,0,0.399,0.1902,0.4369,0.2027,0.35,0.3,0.9886,-0.038219,0.042088
BNB,1,98,1461,105,scenario_val,2,0.4004,0.1934,0.381,0.1839,0.35,0.3,1.6786,-0.009438,0.01112
SOL,2,98,1461,105,scenario_val,11,0.6988,0.6854,0.4762,0.296,0.4,0.35,1.7657,-0.029449,0.028877
XRP,10,98,1461,100,scenario_val,27,0.9405,0.9417,0.45,0.3568,0.5,0.5,2.871,-0.052149,0.041945
ADA,7,98,1461,103,scenario_val,13,0.822,0.8207,0.4466,0.2833,0.45,0.3,1.4587,-0.056217,0.035268
DOT,5,98,1461,105,scenario_val,7,0.6762,0.6566,0.4381,0.3199,0.35,0.3,1.859,-0.050906,0.036551
AVAX,1,98,1461,105,scenario_val,13,0.7098,0.6972,0.5333,0.2573,0.35,0.3,1.4502,-0.023105,0.019175
LINK,1,98,1461,105,scenario_val,3,0.4155,0.2278,0.5238,0.2292,0.35,0.3,1.0855,-0.02113,0.020282
LTC,1,98,1461,105,scenario_val,37,0.9049,0.9067,0.4571,0.3005,0.45,0.3,1.9312,-0.015459,0.015506
