date,cash,positions_value,equity,n_open
2026-04-23,7998.1,1999.9,9998.0,2
2026-04-24,8026.27,1969.25,9995.52,2
2026-04-23,7581.14,1626.95,9208.09,2
2026-04-23,8287.93,924.84,9212.77,1
2026-04-23,8287.93,924.84,9212.77,1
2026-04-24,7365.74,1846.11,9211.85,2
2026-04-24,7365.74,1846.11,9211.85,2
2026-04-24,7365.74,1846.11,9211.85,2
2026-04-25,7365.74,1853.34,9219.07,2
2026-04-25,7365.74,1852.7,9218.43,2
2026-04-26,7365.74,1853.12,9218.85,2
2026-04-27,7365.74,1831.07,9196.81,2
2026-04-28,7365.74,1820.06,9185.8,2
2026-04-29,7365.74,1836.01,9201.75,2
2026-04-29,8278.19,873.85,9152.04,5
2026-04-28,8278.19,868.58,9146.78,5
2026-04-28,8278.19,868.58,9146.78,5
2026-04-30,7269.22,2809.41,10078.63,3
2026-05-01,7269.22,2840.6,10109.82,3
2026-05-02,8281.44,1849.91,10131.35,4
2026-05-03,8281.44,1840.83,10122.27,4
2026-05-04,8281.44,1865.62,10147.06,4
2026-05-05,8281.44,1931.28,10212.73,4
2026-05-06,8281.44,1968.48,10249.92,4
2026-05-07,8281.44,1950.34,10231.78,4
2026-05-08,8281.44,2009.68,10291.12,4
2026-05-08,8281.44,2009.68,10291.12,4
2026-05-10,11431.82,-1092.8,10339.02,5
2026-05-11,11431.82,-1116.61,10315.21,5
2026-05-12,11431.82,-1127.44,10304.38,5
2026-05-13,11431.82,-1146.46,10285.36,5
2026-05-14,11431.82,-1185.23,10246.59,5
2026-05-15,11431.82,-1209.29,10222.53,5
2026-05-16,11431.82,-1179.73,10252.09,5
2026-05-17,11431.82,-1171.79,10260.03,5
2026-05-18,11431.82,-1145.78,10286.04,5
2026-05-19,11431.82,-1144.08,10287.74,5
2026-05-20,11431.82,-1148.9,10282.92,5
2026-05-21,11431.82,-1148.16,10283.66,5
2026-05-22,11431.82,-1140.26,10291.56,5
2026-05-23,11431.82,-1145.38,10286.43,5
2026-05-24,11431.82,-1175.93,10255.89,5
2026-05-25,11431.82,-1174.1,10257.72,5
2026-05-26,11431.82,-1160.66,10271.16,5
2026-05-27,11431.82,-1134.82,10297.0,5
2026-05-28,11431.82,-1133.89,10297.93,5
2026-05-29,11431.82,-1167.09,10264.73,5
2026-05-30,11431.82,-1274.95,10156.87,5
2026-05-31,11431.82,-1251.47,10180.35,5
2026-06-01,11431.82,-1190.83,10240.99,5
2026-06-02,11431.82,-1146.04,10285.77,5
2026-06-02,11431.82,-1146.04,10285.77,5
2026-06-03,11431.82,-1116.95,10314.87,5
2026-06-04,11431.82,-1175.01,10256.81,5
2026-06-05,11431.82,-1218.96,10212.85,5
2026-06-06,11431.82,-1221.48,10210.34,5
2026-06-07,11431.82,-1299.48,10132.34,5
2026-06-08,11431.82,-1287.32,10144.5,5
2026-06-09,11431.82,-1266.55,10165.27,5
2026-06-10,11431.82,-1239.17,10192.65,5
2026-06-11,11431.82,-1239.17,10192.65,5
2026-06-12,11431.82,-1239.17,10192.65,5
2026-06-13,11431.82,-1239.17,10192.65,5
2026-06-14,11431.82,-1239.17,10192.65,5
2026-06-15,11431.82,-1239.17,10192.65,5
2026-06-16,11431.82,-1239.17,10192.65,5
2026-06-17,11431.82,-1239.17,10192.65,5
2026-06-18,11431.82,-1239.17,10192.65,5
2026-06-19,11431.82,-1239.17,10192.65,5
