date,coin,side,qty,price,fee,gross,realized_pnl,note
2026-04-23,BTC,BUY_OPEN,0.014925373134328358,67000.0,1.0,1000.0,0.0,open LONG
2026-04-23,ETH,BUY_OPEN,0.30300000000000005,3300.0,0.9999,999.9,0.0,open LONG
2026-04-24,BTC,SELL_CLOSE,0.014925373134328358,69000.0,1.0299,1029.85,28.82,close LONG
2026-04-24,SOL,BUY_OPEN,5.553622775290215,180.0,0.9997,999.65,0.0,open LONG
2026-04-23,SOL,SELL_CLOSE,5.553622775290215,85.92,0.4772,477.17,-522.96,close LONG
2026-04-23,AVAX,BUY_OPEN,98.38689076340471,9.36,0.9209,920.9,0.0,open LONG
2026-04-23,ETH,SELL_CLOSE,0.30300000000000005,2335.0,0.7075,707.51,-293.1,close LONG
2026-04-24,ADA,BUY_OPEN,3682.1628356465517,0.2502,0.9213,921.28,0.0,open LONG
2026-04-29,BTC,BUY_OPEN,0.012102485613525555,75643.89,0.9155,915.48,0.0,open LONG
2026-04-29,ETH,SELL_OPEN,0.40920685145466745,2236.98,0.9154,-915.39,0.0,open SHORT
2026-04-29,BNB,SELL_OPEN,1.4886492702493375,614.85,0.9153,-915.3,0.0,open SHORT
2026-04-30,BTC,BUY_OPEN,0.013203375413050012,76341.39,1.008,1007.96,0.0,open LONG
2026-05-02,XRP,SELL_OPEN,726.8552793138642,1.394,1.0132,-1013.24,0.0,open SHORT
2026-05-10,BTC,SELL_CLOSE,0.013203375413050012,82207.47,1.0854,1085.42,76.37,close LONG
2026-05-10,BTC,SELL_OPEN,0.012579253848841943,82207.47,1.0341,-1034.11,0.0,open SHORT
2026-05-10,BNB,SELL_OPEN,1.5582928528938562,663.55,1.034,-1034.01,0.0,open SHORT
