coin,scenario,n_intersection_days,n_train_days,ic_s1,ic_s2,ic_s3,p_s1,p_s2,p_s3,w_s1,w_s2,w_s3,weight_source
BTC,S1,140,19,-0.0947,-0.2298,-0.0298,0.6997,0.3439,0.9035,0.3333,0.3333,0.3333,fallback_equal
BTC,S2,140,71,-0.0448,0.0806,0.0963,0.7104,0.5041,0.4245,0.0,0.4556,0.5444,ic_positive
BTC,S3,140,62,0.0306,-0.0933,-0.0126,0.8131,0.4705,0.9228,1.0,0.0,0.0,ic_positive
BTC,S4,140,91,-0.1287,0.061,0.0758,0.2242,0.5659,0.4754,0.0,0.4459,0.5541,ic_positive
BTC,S5,140,41,0.0296,0.0828,-0.0761,0.8542,0.607,0.6361,0.2636,0.7364,0.0,ic_positive
ETH,S1,76,3,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
ETH,S2,76,28,0.0952,-0.0608,-0.1437,0.6298,0.7588,0.4657,1.0,0.0,0.0,ic_positive
ETH,S3,76,29,0.0315,0.003,-0.1559,0.871,0.9879,0.4192,0.9143,0.0857,0.0,ic_positive
ETH,S4,76,64,-0.1468,0.0157,0.2134,0.2471,0.902,0.0904,0.0,0.0686,0.9314,ic_positive
ETH,S5,76,9,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
BNB,S1,55,0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
BNB,S2,55,32,-0.0073,-0.1217,0.1294,0.9682,0.507,0.4803,0.0,0.0,1.0,ic_positive
BNB,S3,55,32,-0.0073,-0.1217,0.1294,0.9682,0.507,0.4803,0.0,0.0,1.0,ic_positive
BNB,S4,55,53,0.1492,-0.0738,0.342,0.2864,0.5996,0.0122,0.3037,0.0,0.6963,ic_positive
BNB,S5,55,8,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
SOL,S1,172,0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
SOL,S2,172,108,-0.003,0.1062,-0.0437,0.9756,0.274,0.6533,0.0,1.0,0.0,ic_positive
SOL,S3,172,107,-0.0304,0.0939,-0.0723,0.7556,0.3359,0.459,0.0,1.0,0.0,ic_positive
SOL,S4,172,164,-0.0253,0.1205,0.0747,0.7479,0.1242,0.3416,0.0,0.6173,0.3827,ic_positive
SOL,S5,172,26,-0.3354,-0.0414,-0.1453,0.0939,0.841,0.4788,0.3333,0.3333,0.3333,fallback_equal
XRP,S1,24,0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
XRP,S2,24,18,0.2528,-0.3354,-0.2859,0.3114,0.1736,0.2502,1.0,0.0,0.0,ic_positive
XRP,S3,24,18,0.2528,-0.3354,-0.2859,0.3114,0.1736,0.2502,1.0,0.0,0.0,ic_positive
XRP,S4,24,23,0.1551,-0.4328,-0.2055,0.4797,0.0391,0.3468,1.0,0.0,0.0,ic_positive
XRP,S5,24,1,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
ADA,S1,146,6,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
ADA,S2,146,99,-0.0057,0.1819,0.0182,0.9553,0.0716,0.8584,0.0,0.9092,0.0908,ic_positive
ADA,S3,146,85,0.0087,0.1028,-0.0096,0.9373,0.3494,0.9304,0.0777,0.9223,0.0,ic_positive
ADA,S4,146,111,0.0967,0.0849,0.017,0.3128,0.3755,0.8592,0.4867,0.4276,0.0857,ic_positive
ADA,S5,146,52,-0.2036,0.1641,-0.0225,0.1477,0.2451,0.8745,0.0,1.0,0.0,ic_positive
DOT,S1,3,0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
DOT,S2,3,3,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
DOT,S3,3,2,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
DOT,S4,3,2,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
DOT,S5,3,1,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
AVAX,S1,2,0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
AVAX,S2,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
AVAX,S3,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
AVAX,S4,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.3333,0.3333,0.3333,fallback_equal
